"","entrez_id","gene","chromosome","gene_name","mouse_homologenes","ensembl_gene_id"
"95",119,"ADD2","2","adducin 2 (beta)","Add2","ENSG00000075340"
"96",120,"ADD3","10","adducin 3 (gamma)","Add3","ENSG00000148700"
"97",123,"PLIN2","9","perilipin 2","Plin2","ENSG00000147872"
"98",124,"ADH1A","4","alcohol dehydrogenase 1A (class I), alpha polypeptide",NA,"ENSG00000187758"
"99",125,"ADH1B","4","alcohol dehydrogenase 1B (class I), beta polypeptide",NA,"ENSG00000196616"
"100",126,"ADH1C","4","alcohol dehydrogenase 1C (class I), gamma polypeptide","Adh1","ENSG00000248144"
"101",127,"ADH4","4","alcohol dehydrogenase 4 (class II), pi polypeptide","Adh4","ENSG00000198099"
"102",128,"ADH5","4","alcohol dehydrogenase 5 (class III), chi polypeptide","Adh5","ENSG00000197894"
"103",130,"ADH6","4","alcohol dehydrogenase 6 (class V)",NA,"ENSG00000172955"
"104",131,"ADH7","4","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide","Adh7","ENSG00000196344"
"105",132,"ADK","10","adenosine kinase","Adk","ENSG00000156110"
"106",133,"ADM","11","adrenomedullin","Adm","ENSG00000148926"
"107",134,"ADORA1","1","adenosine A1 receptor","Adora1","ENSG00000163485"
"108",135,"ADORA2A","22","adenosine A2a receptor","Adora2a","ENSG00000128271"
"109",136,"ADORA2B","17","adenosine A2b receptor","Adora2b","ENSG00000170425"
"110",137,"ADORA2BP1","1","adenosine A2b receptor pseudogene 1",NA,NA
"111",140,"ADORA3","1","adenosine A3 receptor","Adora3","ENSG00000282608"
"112",141,"ADPRH","3","ADP-ribosylarginine hydrolase","Adprh","ENSG00000144843"
"113",142,"PARP1","1","poly (ADP-ribose) polymerase 1","Parp1","ENSG00000143799"
"114",143,"PARP4","13","poly (ADP-ribose) polymerase family, member 4","Parp4","ENSG00000102699"
"115",144,"PARP1P1","13","poly (ADP-ribose) polymerase family, member 1 pseudogene 1",NA,NA
"116",145,"PARP1P2","14","poly (ADP-ribose) polymerase family, member 1 pseudogene 2",NA,NA
"117",146,"ADRA1D","20","adrenoceptor alpha 1D","Adra1d","ENSG00000171873"
"118",147,"ADRA1B","5","adrenoceptor alpha 1B","Adra1b","ENSG00000170214"
"119",148,"ADRA1A","8","adrenoceptor alpha 1A","Adra1a","ENSG00000120907"
"120",150,"ADRA2A","10","adrenoceptor alpha 2A","Adra2a","ENSG00000150594"
"121",151,"ADRA2B","2","adrenoceptor alpha 2B","Adra2b","ENSG00000274286"
"122",152,"ADRA2C","4","adrenoceptor alpha 2C","Adra2c","ENSG00000184160"
"123",153,"ADRB1","10","adrenoceptor beta 1","Adrb1","ENSG00000043591"
"124",154,"ADRB2","5","adrenoceptor beta 2, surface","Adrb2","ENSG00000169252"
"125",155,"ADRB3","8","adrenoceptor beta 3","Adrb3","ENSG00000188778"
"126",156,"ADRBK1","11","adrenergic, beta, receptor kinase 1","Adrbk1","ENSG00000173020"
"127",157,"ADRBK2","22","adrenergic, beta, receptor kinase 2","Adrbk2","ENSG00000100077"
"128",158,"ADSL","22","adenylosuccinate lyase","Adsl","ENSG00000239900"
"129",159,"ADSS","1","adenylosuccinate synthase","Adss","ENSG00000035687"
"130",160,"AP2A1","19","adaptor-related protein complex 2, alpha 1 subunit","Ap2a1","ENSG00000196961"
"131",161,"AP2A2","11","adaptor-related protein complex 2, alpha 2 subunit","Ap2a2","ENSG00000183020, ENSG00000280759, ENSG00000281385"
"132",162,"AP1B1","22","adaptor-related protein complex 1, beta 1 subunit","Ap1b1","ENSG00000100280"
"133",163,"AP2B1","17","adaptor-related protein complex 2, beta 1 subunit",NA,"ENSG00000006125"
"134",164,"AP1G1","16","adaptor-related protein complex 1, gamma 1 subunit","Ap1g1","ENSG00000166747"
"135",165,"AEBP1","7","AE binding protein 1","Aebp1","ENSG00000106624"
"136",166,"AES","19","amino-terminal enhancer of split","Aes","ENSG00000104964"
"137",167,"CRISP1","6","cysteine-rich secretory protein 1","Crisp4","ENSG00000124812"
"138",172,"AFG3L1P","16","AFG3-like AAA ATPase 1, pseudogene",NA,NA
"139",173,"AFM","4","afamin","Afm","ENSG00000079557"
"140",174,"AFP","4","alpha-fetoprotein","Afp","ENSG00000081051"
"141",175,"AGA","4","aspartylglucosaminidase","Aga","ENSG00000038002"
"142",176,"ACAN","15","aggrecan",NA,"ENSG00000157766"
"143",177,"AGER","6","advanced glycosylation end product-specific receptor","Ager","ENSG00000231268, ENSG00000230514, ENSG00000229058, ENSG00000237405, ENSG00000234729, ENSG00000204305, ENSG00000206320"
"144",178,"AGL","1","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","Agl","ENSG00000162688"
"145",181,"AGRP","16","agouti related neuropeptide","Agrp","ENSG00000159723"
"146",182,"JAG1","20","jagged 1","Jag1","ENSG00000101384"
"147",183,"AGT","1","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","Agt","ENSG00000135744"
"148",185,"AGTR1","3","angiotensin II receptor, type 1","Agtr1a","ENSG00000144891"
"149",186,"AGTR2","X","angiotensin II receptor, type 2","Agtr2","ENSG00000180772"
"150",187,"APLNR","11","apelin receptor","Aplnr","ENSG00000134817"
"151",189,"AGXT","2","alanine-glyoxylate aminotransferase","Agxt","ENSG00000172482"
"152",190,"NR0B1","X","nuclear receptor subfamily 0, group B, member 1","Nr0b1","ENSG00000169297"
"153",191,"AHCY","20","adenosylhomocysteinase","Ahcy","ENSG00000101444"
"154",196,"AHR","7","aryl hydrocarbon receptor","Ahr","ENSG00000106546"
"155",197,"AHSG","3","alpha-2-HS-glycoprotein","Ahsg","ENSG00000145192"
"156",199,"AIF1","6","allograft inflammatory factor 1","Aif1","ENSG00000237727, ENSG00000235588, ENSG00000235985, ENSG00000206428, ENSG00000204472, ENSG00000234836"
"157",202,"AIM1","6","absent in melanoma 1","Aim1","ENSG00000112297"
"158",203,"AK1","9","adenylate kinase 1","Ak1","ENSG00000106992"
"159",204,"AK2","1","adenylate kinase 2","Ak2","ENSG00000004455"
"160",205,"AK4","1","adenylate kinase 4","Ak4","ENSG00000162433"
"161",206,"AK4P1","17","adenylate kinase 4 pseudogene 1",NA,NA
"162",207,"AKT1","14","v-akt murine thymoma viral oncogene homolog 1","Akt1","ENSG00000142208"
"163",208,"AKT2","19","v-akt murine thymoma viral oncogene homolog 2","Akt2","ENSG00000105221"
"164",210,"ALAD","9","aminolevulinate dehydratase","Alad","ENSG00000148218"
"165",211,"ALAS1","3","5''-aminolevulinate synthase 1","Alas1","ENSG00000023330"
"166",212,"ALAS2","X","5''-aminolevulinate synthase 2","Alas2","ENSG00000158578"
"167",213,"ALB","4","albumin","Alb","ENSG00000163631"
"168",214,"ALCAM","3","activated leukocyte cell adhesion molecule","Alcam","ENSG00000170017"
"169",215,"ABCD1","X","ATP-binding cassette, sub-family D (ALD), member 1","Abcd1","ENSG00000101986"
"170",216,"ALDH1A1","9","aldehyde dehydrogenase 1 family, member A1","Aldh1a1","ENSG00000165092"
"171",217,"ALDH2","12","aldehyde dehydrogenase 2 family (mitochondrial)","Aldh2","ENSG00000111275"
"172",218,"ALDH3A1","17","aldehyde dehydrogenase 3 family, member A1","Aldh3a1","ENSG00000108602"
"173",219,"ALDH1B1","9","aldehyde dehydrogenase 1 family, member B1","Aldh1b1","ENSG00000137124"
"174",220,"ALDH1A3","15","aldehyde dehydrogenase 1 family, member A3","Aldh1a3","ENSG00000184254"
"175",221,"ALDH3B1","11","aldehyde dehydrogenase 3 family, member B1","Aldh3b1","ENSG00000006534"
"176",222,"ALDH3B2","11","aldehyde dehydrogenase 3 family, member B2",NA,"ENSG00000132746"
"177",223,"ALDH9A1","1","aldehyde dehydrogenase 9 family, member A1","Aldh9a1","ENSG00000143149"
"178",224,"ALDH3A2","17","aldehyde dehydrogenase 3 family, member A2","Aldh3a2","ENSG00000072210"
"179",225,"ABCD2","12","ATP-binding cassette, sub-family D (ALD), member 2","Abcd2","ENSG00000173208"
"180",226,"ALDOA","16","aldolase A, fructose-bisphosphate","Aldoa","ENSG00000149925"
"181",228,"ALDOAP2","10","aldolase A, fructose-bisphosphate pseudogene 2",NA,NA
"182",229,"ALDOB","9","aldolase B, fructose-bisphosphate","Aldob","ENSG00000136872"
"183",230,"ALDOC","17","aldolase C, fructose-bisphosphate","Aldoc","ENSG00000109107"
"184",231,"AKR1B1","7","aldo-keto reductase family 1, member B1 (aldose reductase)","Akr1b3","ENSG00000085662"
"185",236,"AKR1B1P2","3","aldo-keto reductase family 1, member B1 pseudogene 2",NA,NA
"186",238,"ALK","2","anaplastic lymphoma receptor tyrosine kinase","Alk","ENSG00000171094"
"187",239,"ALOX12","17","arachidonate 12-lipoxygenase","Alox12","ENSG00000108839"
"188",240,"ALOX5","10","arachidonate 5-lipoxygenase","Alox5","ENSG00000012779, ENSG00000275565"
"189",241,"ALOX5AP","13","arachidonate 5-lipoxygenase-activating protein","Alox5ap","ENSG00000132965"
"190",242,"ALOX12B","17","arachidonate 12-lipoxygenase, 12R type","Alox12b","ENSG00000179477"
"191",243,"ALOX12P1","17","arachidonate 12-lipoxygenase pseudogene 1",NA,NA
"192",245,"ALOX12P2","17","arachidonate 12-lipoxygenase pseudogene 2",NA,NA
"193",246,"ALOX15","17","arachidonate 15-lipoxygenase","Alox15","ENSG00000161905"
"194",247,"ALOX15B","17","arachidonate 15-lipoxygenase, type B","Alox8","ENSG00000179593"
"195",248,"ALPI","2","alkaline phosphatase, intestinal","Akp3","ENSG00000163295"
"196",249,"ALPL","1","alkaline phosphatase, liver/bone/kidney","Alpl","ENSG00000162551"
"197",250,"ALPP","2","alkaline phosphatase, placental","Alpi","ENSG00000163283"
"198",251,"ALPPL2","2","alkaline phosphatase, placental-like 2","Alppl2","ENSG00000163286"
"199",257,"ALX3","1","ALX homeobox 3","Alx3","ENSG00000156150"
"200",258,"AMBN","4","ameloblastin (enamel matrix protein)","Ambn","ENSG00000178522"
"201",259,"AMBP","9","alpha-1-microglobulin/bikunin precursor","Ambp","ENSG00000106927"
"202",262,"AMD1","6","adenosylmethionine decarboxylase 1","Amd1;Amd2","ENSG00000123505"
"203",263,"AMDP1","X","adenosylmethionine decarboxylase pseudogene 1",NA,NA
"204",265,"AMELX","X","amelogenin, X-linked",NA,"ENSG00000125363"
"205",266,"AMELY","Y","amelogenin, Y-linked","Amelx","ENSG00000099721"
"206",267,"AMFR","16","autocrine motility factor receptor, E3 ubiquitin protein ligase","Amfr","ENSG00000159461"
"207",268,"AMH","19","anti-Mullerian hormone","Amh","ENSG00000104899"
"208",269,"AMHR2","12","anti-Mullerian hormone receptor, type II","Amhr2","ENSG00000135409"
"209",270,"AMPD1","1","adenosine monophosphate deaminase 1","Ampd1","ENSG00000116748"
"210",271,"AMPD2","1","adenosine monophosphate deaminase 2","Ampd2","ENSG00000116337"
"211",272,"AMPD3","11","adenosine monophosphate deaminase 3","Ampd3","ENSG00000133805"
"212",273,"AMPH","7","amphiphysin","Amph","ENSG00000078053"
"213",274,"BIN1","2","bridging integrator 1","Bin1","ENSG00000136717"
"214",275,"AMT","3","aminomethyltransferase","Amt","ENSG00000145020"
"215",276,"AMY1A","1","amylase, alpha 1A (salivary)",NA,"ENSG00000237763"
"216",277,"AMY1B","1","amylase, alpha 1B (salivary)",NA,"ENSG00000174876"
"217",278,"AMY1C","1","amylase, alpha 1C (salivary)",NA,"ENSG00000187733"
"218",279,"AMY2A","1","amylase, alpha 2A (pancreatic)","Amy1","ENSG00000243480"
"219",280,"AMY2B","1","amylase, alpha 2B (pancreatic)","Amy2a2;Amy2a3;Amy2a4;Amy2a5","ENSG00000240038"
"220",281,"AMYP1","1","amylase, alpha pseudogene 1",NA,NA
"221",283,"ANG","14","angiogenin, ribonuclease, RNase A family, 5","Ang","ENSG00000214274"
"222",284,"ANGPT1","8","angiopoietin 1","Angpt1","ENSG00000154188"
"223",285,"ANGPT2","8","angiopoietin 2","Angpt2","ENSG00000091879"
"224",286,"ANK1","8","ankyrin 1, erythrocytic","Ank1","ENSG00000029534"
"225",287,"ANK2","4","ankyrin 2, neuronal",NA,"ENSG00000145362"
"226",288,"ANK3","10","ankyrin 3, node of Ranvier (ankyrin G)","Ank3","ENSG00000151150"
"227",290,"ANPEP","15","alanyl (membrane) aminopeptidase","Anpep","ENSG00000166825"
"228",291,"SLC25A4","4","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4","Slc25a4","ENSG00000151729"
"229",292,"SLC25A5","X","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5","Slc25a5","ENSG00000005022"
"230",293,"SLC25A6","X","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6",NA,"ENSG00000169100"
"231",301,"ANXA1","9","annexin A1","Anxa1","ENSG00000135046"
"232",302,"ANXA2","15","annexin A2","Anxa2","ENSG00000182718"
"233",303,"ANXA2P1","4","annexin A2 pseudogene 1",NA,NA
"234",304,"ANXA2P2","9","annexin A2 pseudogene 2",NA,NA
"235",305,"ANXA2P3","10","annexin A2 pseudogene 3",NA,NA
"236",306,"ANXA3","4","annexin A3","Anxa3","ENSG00000138772"
"237",307,"ANXA4","2","annexin A4","Anxa4","ENSG00000196975"
"238",308,"ANXA5","4","annexin A5","Anxa5","ENSG00000164111"
"239",309,"ANXA6","5","annexin A6","Anxa6","ENSG00000197043"
"240",310,"ANXA7","10","annexin A7","Anxa7","ENSG00000138279"
"241",311,"ANXA11","10","annexin A11","Anxa11","ENSG00000122359"
"242",312,"ANXA13","8","annexin A13","Anxa13","ENSG00000104537"
"243",313,"AOAH","7","acyloxyacyl hydrolase (neutrophil)","Aoah","ENSG00000136250"
"244",314,"AOC2","17","amine oxidase, copper containing 2 (retina-specific)","Aoc2","ENSG00000131480"
"245",316,"AOX1","2","aldehyde oxidase 1","Aox1","ENSG00000138356"
"246",317,"APAF1","12","apoptotic peptidase activating factor 1","Apaf1","ENSG00000120868"
"247",318,"NUDT2","9","nudix (nucleoside diphosphate linked moiety X)-type motif 2","Nudt2","ENSG00000164978"
"248",319,"APOF","12","apolipoprotein F","Apof","ENSG00000175336"
"249",320,"APBA1","9","amyloid beta (A4) precursor protein-binding, family A, member 1","Apba1","ENSG00000107282, ENSG00000276497"
"250",321,"APBA2","15","amyloid beta (A4) precursor protein-binding, family A, member 2","Apba2","ENSG00000034053, ENSG00000276495"
"251",322,"APBB1","11","amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)","Apbb1","ENSG00000166313"
"252",323,"APBB2","4","amyloid beta (A4) precursor protein-binding, family B, member 2","Apbb2","ENSG00000163697"
"253",324,"APC","5","adenomatous polyposis coli","Apc","ENSG00000134982"
"254",325,"APCS","1","amyloid P component, serum","Apcs","ENSG00000132703"
"255",326,"AIRE","21","autoimmune regulator","Aire","ENSG00000160224"
"256",327,"APEH","3","acylaminoacyl-peptide hydrolase","Apeh","ENSG00000164062"
"257",328,"APEX1","14","APEX nuclease (multifunctional DNA repair enzyme) 1","Apex1","ENSG00000100823"
"258",329,"BIRC2","11","baculoviral IAP repeat containing 2","Birc2","ENSG00000110330"
"259",330,"BIRC3","11","baculoviral IAP repeat containing 3","Birc3","ENSG00000023445"
"260",331,"XIAP","X","X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase","Xiap","ENSG00000101966"
"261",332,"BIRC5","17","baculoviral IAP repeat containing 5","Birc5","ENSG00000089685"
"262",333,"APLP1","19","amyloid beta (A4) precursor-like protein 1","Aplp1","ENSG00000105290"
"263",334,"APLP2","11","amyloid beta (A4) precursor-like protein 2","Aplp2","ENSG00000084234"
"264",335,"APOA1","11","apolipoprotein A-I","Apoa1","ENSG00000118137"
"265",336,"APOA2","1","apolipoprotein A-II","Apoa2","ENSG00000158874"
"266",337,"APOA4","11","apolipoprotein A-IV","Apoa4","ENSG00000110244"
"267",338,"APOB","2","apolipoprotein B","Apob","ENSG00000084674"
"268",339,"APOBEC1","12","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1","Apobec1","ENSG00000111701"
"269",341,"APOC1","19","apolipoprotein C-I",NA,"ENSG00000130208"
"270",342,"APOC1P1","19","apolipoprotein C-I pseudogene 1",NA,NA
"271",343,"AQP8","16","aquaporin 8","Aqp8","ENSG00000103375"
"272",344,"APOC2","19","apolipoprotein C-II","Apoc2","ENSG00000234906"
"273",345,"APOC3","11","apolipoprotein C-III",NA,"ENSG00000110245"
"274",346,"APOC4","19","apolipoprotein C-IV","Apoc4","ENSG00000267467"
"275",347,"APOD","3","apolipoprotein D","Apod","ENSG00000189058"
"276",348,"APOE","19","apolipoprotein E","Apoe","ENSG00000130203"
"277",350,"APOH","17","apolipoprotein H (beta-2-glycoprotein I)","Apoh","ENSG00000091583"
"278",351,"APP","21","amyloid beta (A4) precursor protein","App","ENSG00000142192"
"279",353,"APRT","16","adenine phosphoribosyltransferase","Aprt","ENSG00000198931"
"280",354,"KLK3","19","kallikrein-related peptidase 3","Klk1;Klk1b1;Klk1b11;Klk1b16;Klk1b21;Klk1b22;Klk1b24;Klk1b26;Klk1b27;Klk1b3;Klk1b4;Klk1b5;Klk1b8;Klk1b9","ENSG00000142515"
"281",355,"FAS","10","Fas cell surface death receptor","Fas","ENSG00000026103"
"282",356,"FASLG","1","Fas ligand (TNF superfamily, member 6)","Fasl","ENSG00000117560"
"283",357,"SHROOM2","X","shroom family member 2","Shroom2","ENSG00000146950"
"284",358,"AQP1","7","aquaporin 1 (Colton blood group)","Aqp1","ENSG00000240583"
"285",359,"AQP2","12","aquaporin 2 (collecting duct)","Aqp2","ENSG00000167580"
"286",360,"AQP3","9","aquaporin 3 (Gill blood group)","Aqp3","ENSG00000165272"
"287",361,"AQP4","18","aquaporin 4","Aqp4","ENSG00000171885"
"288",362,"AQP5","12","aquaporin 5","Aqp5","ENSG00000161798"
"289",363,"AQP6","12","aquaporin 6, kidney specific","Aqp6","ENSG00000086159"
"290",364,"AQP7","9","aquaporin 7","Aqp7","ENSG00000165269"
"291",366,"AQP9","15","aquaporin 9","Aqp9","ENSG00000103569"
"292",367,"AR","X","androgen receptor","Ar","ENSG00000169083"
"293",368,"ABCC6","16","ATP-binding cassette, sub-family C (CFTR/MRP), member 6","Abcc6","ENSG00000275331, ENSG00000091262"
"294",369,"ARAF","X","A-Raf proto-oncogene, serine/threonine kinase","Araf","ENSG00000078061"
"295",372,"ARCN1","11","archain 1","Arcn1","ENSG00000095139"
"296",373,"TRIM23","5","tripartite motif containing 23","Trim23","ENSG00000113595"
"297",374,"AREG","4","amphiregulin","Areg","ENSG00000109321"
"298",375,"ARF1","1","ADP-ribosylation factor 1","Arf1","ENSG00000143761"
"299",377,"ARF3","12","ADP-ribosylation factor 3","Arf3","ENSG00000134287"
"300",378,"ARF4","3","ADP-ribosylation factor 4","Arf4","ENSG00000168374"
"301",379,"ARL4D","17","ADP-ribosylation factor-like 4D","Arl4d","ENSG00000175906"
"302",380,"ARF4P1","9","ADP-ribosylation factor 4 pseudogene 1",NA,NA
